t_s,mem_util_pct,gpu_util_pct,phase
25.19188327800657,81,68,util_75
25.212915088995942,81,68,util_75
25.234756200006814,81,68,util_75
25.256584912000108,81,68,util_75
25.277706823006156,81,68,util_75
25.298876034008572,81,68,util_75
25.323233046001405,81,67,util_75
25.344202956999652,81,67,util_75
25.365282768005272,81,67,util_75
25.386372378998203,81,67,util_75
25.407158889996936,81,67,util_75
25.42794930099626,81,67,util_75
25.448817412005155,81,67,util_75
25.46961902199837,81,67,util_75
25.49044523300836,81,67,util_75
25.511334244001773,81,67,util_75
25.53242435499851,81,69,util_75
25.553735466004582,81,69,util_75
25.575088376994245,81,69,util_75
25.596802689004107,81,69,util_75
25.618430999995326,81,69,util_75
25.63942601099552,81,69,util_75
25.66053622199979,81,69,util_75
25.681712833000347,81,69,util_75
25.702649244005443,81,69,util_75
25.723493754005176,82,69,util_75
25.744623164006043,82,69,util_75
25.765793673999724,82,69,util_75
25.786556683000526,82,69,util_75
25.807266692994745,82,69,util_75
25.828346702997806,82,69,util_75
25.849251813007868,82,69,util_75
25.870074521997594,82,69,util_75
25.890929932007566,82,69,util_75
25.91208354200353,82,69,util_75
25.932874852005625,82,69,util_75
25.95372776199656,82,69,util_75
25.974433270996087,82,69,util_75
25.995389981006156,82,69,util_75
26.01687569200294,82,69,util_75
26.037896402005572,82,69,util_75
26.059080512000946,82,69,util_75
26.0806759219995,82,69,util_75
26.101430331997108,82,69,util_75
26.122971842007246,82,72,util_75
26.143663951996132,82,72,util_75
26.164562461999594,82,72,util_75
26.18552507199638,82,72,util_75
26.20626908200211,82,72,util_75
26.226963991997764,82,72,util_75
26.24773550100508,82,72,util_75
26.268488211004296,82,72,util_75
26.289213921001647,82,72,util_75
26.31000123100239,82,72,util_75
26.330751941000926,81,71,util_75
26.35152605100302,81,71,util_75
26.372150561001035,81,71,util_75
26.393032470994513,81,71,util_75
26.41384408000158,81,71,util_75
26.43463409000833,81,71,util_75
26.455821700001252,81,71,util_75
26.477036010997836,81,71,util_75
26.498187621007673,81,71,util_75
26.51984243100742,82,70,util_75
26.540684241001145,82,70,util_75
26.561500851006713,82,70,util_75
26.58232406100433,82,70,util_75
26.603021470000385,82,70,util_75
26.62366667999595,82,70,util_75
26.64448648999678,82,70,util_75
26.665170000007492,82,70,util_75
26.685913609995623,82,70,util_75
26.707124820008175,82,70,util_75
26.72826073000033,81,67,util_75
26.749025240002084,81,67,util_75
26.770083650000743,81,67,util_75
26.790965260006487,81,67,util_75
26.81170967000071,81,67,util_75
26.832841180003015,81,67,util_75
26.853921090005315,81,67,util_75
26.87468199999421,81,67,util_75
26.895719510008348,81,67,util_75
26.919536020999658,80,67,util_75
26.94026633100293,80,67,util_75
26.961185542008025,80,67,util_75
26.981854052006383,80,67,util_75
27.002679062003153,80,67,util_75
27.023500572002376,80,67,util_75
27.044775282003684,80,67,util_75
27.065680293002515,80,67,util_75
27.086625302996254,80,67,util_75
27.1084810129978,80,67,util_75
27.129429424006958,80,67,util_75
27.150873133999994,80,67,util_75
27.171573843996157,80,67,util_75
27.192246853999677,80,67,util_75
27.21316166500037,80,67,util_75
27.233952074995614,80,67,util_75
27.25488268499612,80,67,util_75
27.27611399500165,80,67,util_75
27.297191806006595,80,67,util_75
27.319514816001174,81,69,util_75
27.340302127005998,81,69,util_75
27.361267137006507,81,69,util_75
27.382288446999155,81,69,util_75
27.40307085700624,81,69,util_75
27.42374596699665,81,69,util_75
27.444479376994423,81,69,util_75
27.465156788006425,81,69,util_75
27.48678999800177,81,69,util_75
27.507677707995754,81,69,util_75
27.528545918001328,80,66,util_75
27.54938062900328,80,66,util_75
27.570487639008206,80,66,util_75
27.59132334899914,80,66,util_75
27.61279025999829,80,66,util_75
27.633516169997165,80,66,util_75
27.65446227999928,80,66,util_75
27.675687290000496,80,66,util_75
27.6969520010025,80,66,util_75
27.71944521200203,81,68,util_75
27.740194422003697,81,68,util_75
27.761293632007437,81,68,util_75
27.78210864200082,81,68,util_75
27.80304545200488,81,68,util_75
27.823940863003372,81,68,util_75
27.844926873003715,81,68,util_75
27.865705983000225,81,68,util_75
27.886640593002085,81,68,util_75
27.907586304005235,81,68,util_75
27.92831811400538,80,68,util_75
27.94907282400527,80,68,util_75
27.9697064350039,80,68,util_75
27.990651945001446,80,68,util_75
28.011423454998294,80,68,util_75
28.032349866000004,80,68,util_75
28.053109875996597,80,68,util_75
28.07385398700717,80,68,util_75
28.094880296994234,80,68,util_75
28.119209808995947,81,69,util_75
28.14032911999675,81,69,util_75
28.161057329998584,81,69,util_75
28.18169434100855,81,69,util_75
28.20245045100455,81,69,util_75
28.22315906100266,81,69,util_75
28.243897371998173,81,69,util_75
28.26450718200067,81,69,util_75
28.285178392005037,81,69,util_75
28.305898902995978,81,69,util_75
28.326664413005346,82,68,util_75
28.347503223994863,82,68,util_75
28.3682455340022,82,68,util_75
28.38906914400286,82,68,util_75
28.409976555005414,82,68,util_75
28.430752665008185,82,68,util_75
28.451508875994477,82,68,util_75
28.472503386001335,82,68,util_75
28.493782496996573,82,68,util_75
28.515023207000922,82,68,util_75
28.536170217994368,82,69,util_75
28.557303929002956,82,69,util_75
28.57864283899835,82,69,util_75
28.600319150005816,82,69,util_75
28.621194460996776,82,69,util_75
28.64203597100277,82,69,util_75
28.66341368200665,82,69,util_75
28.68419949199597,82,69,util_75
28.705401402999996,82,69,util_75
28.72653871300281,82,70,util_75
28.7476883240015,82,70,util_75
28.76857533400471,82,70,util_75
28.789937145003933,82,70,util_75
28.810973455998464,82,70,util_75
28.831978665999486,82,70,util_75
28.852992476997315,82,70,util_75
28.873930087007466,82,70,util_75
28.895123198002693,82,70,util_75
28.91894310999487,81,67,util_75
28.94058982099523,81,67,util_75
28.96213063200412,81,67,util_75
28.983426043007057,81,67,util_75
29.00438835400564,81,67,util_75
29.02572676500131,81,67,util_75
29.04695507499855,81,67,util_75
29.068149586004438,81,67,util_75
29.088953697006218,81,67,util_75
29.109986007999396,81,67,util_75
29.131065118999686,81,69,util_75
29.151917429000605,81,69,util_75
29.172697839996545,81,69,util_75
29.19340235099662,81,69,util_75
29.214326761008124,81,69,util_75
29.235406671999954,81,69,util_75
29.256527482997626,81,69,util_75
29.277634793994366,81,69,util_75
29.298641205008607,81,69,util_75
29.319559315001243,81,68,util_75
29.340337525994983,81,68,util_75
29.36128893699788,81,68,util_75
29.382190646996605,81,68,util_75
29.40298755800177,81,68,util_75
29.42367606899643,81,68,util_75
29.44453967899608,81,68,util_75
29.46584769000765,81,68,util_75
29.4866370009986,81,68,util_75
29.507369112005108,81,68,util_75
29.52816682199773,80,66,util_75
29.548934132995782,80,66,util_75
29.570094944006996,80,66,util_75
29.591187254001852,80,66,util_75
29.612334164994536,80,66,util_75
29.63342397600354,80,66,util_75
29.654838486996596,80,66,util_75
29.67614849799429,80,66,util_75
29.69782190899423,80,66,util_75
29.718808120000176,81,69,util_75
29.73963163100416,81,69,util_75
29.760778740994283,81,69,util_75
29.78207105200272,81,69,util_75
29.803117162999115,81,69,util_75
29.82401357400522,81,69,util_75
29.844922685006168,81,69,util_75
29.86588869499974,81,69,util_75
29.886818405997474,81,69,util_75
29.90781861700816,81,69,util_75
29.929082028000266,81,68,util_75
29.950401238995255,81,68,util_75
29.971798350001336,81,68,util_75
29.992634360998636,81,68,util_75
30.01347727200482,81,68,util_75
30.034456182998838,81,68,util_75
30.05566439499671,81,68,util_75
30.07722290599486,81,68,util_75
30.098158716995385,81,68,util_75
30.11893482800224,80,67,util_75
30.139789638997172,80,67,util_75
30.160628650002764,80,67,util_75
30.181471560994396,80,67,util_75
30.20219677100249,80,67,util_75
30.222906982002314,80,67,util_75
30.24368839300587,80,67,util_75
30.26439850400493,80,67,util_75
30.285166415007552,80,67,util_75
30.305921025996213,80,67,util_75
30.32661453699984,81,68,util_75
30.34742974799883,81,68,util_75
30.368094258999918,81,68,util_75
30.38893936900422,81,68,util_75
30.409708480001427,81,68,util_75
30.43047429100261,81,68,util_75
30.451188202001504,81,68,util_75
30.472514213004615,81,68,util_75
30.49361602400313,81,68,util_75
30.514814435999142,81,68,util_75
30.536128847001237,81,68,util_75
30.557241957998485,81,68,util_75
30.57840876899718,81,68,util_75
30.5992343800026,81,68,util_75
30.620064991002437,81,68,util_75
30.640827502007596,81,68,util_75
30.662382413007435,81,68,util_75
30.683489023998845,81,68,util_75
30.704392635001568,81,68,util_75
30.725180445995647,81,67,util_75
30.746111957007088,81,67,util_75
30.767028568006936,81,67,util_75
30.787801479003974,81,67,util_75
30.808687990007456,81,67,util_75
30.829486201007967,81,67,util_75
30.850232212003903,81,67,util_75
30.870987722999416,81,67,util_75
30.89175753299787,81,67,util_75
30.912428344003274,81,67,util_75
30.933284555998398,82,70,util_75
30.954349267005455,82,70,util_75
30.975556678007706,82,70,util_75
30.996633190006833,82,70,util_75
31.017588700997294,82,70,util_75
31.038380911995773,82,70,gap
31.059220023002126,82,70,gap
31.08065353499842,82,70,gap
31.101490146000287,82,70,gap
31.1230273580004,49,44,gap
31.144662969003548,49,44,gap
31.166359980998095,49,44,gap
31.187444192008115,49,44,gap
31.208417803005432,49,44,gap
31.229104015001212,49,44,gap
31.24982132599689,49,44,gap
31.270483237007284,49,44,gap
31.291285348008387,49,44,gap
31.312092859006952,49,44,gap
31.33291607000865,0,3,gap
31.354073381997296,0,3,gap
31.37593839300098,0,3,gap
31.39700490499672,0,3,gap
31.41778381599579,0,3,gap
31.43855162699765,0,3,gap
31.459367938005016,0,3,gap
31.480263349003508,0,3,gap
31.501087761003873,0,3,gap
31.521778472000733,0,3,gap
31.54258388299786,0,3,util_100
31.563355694001075,0,3,util_100
31.58414310500666,0,3,util_100
31.604940015997272,0,3,util_100
31.625698328003637,0,3,util_100
31.646478538998053,0,3,util_100
31.66760415000317,0,3,util_100
31.688662161002867,0,3,util_100
31.709424472996034,0,3,util_100
31.730191384005593,100,87,util_100
31.751010595005937,100,87,util_100
31.77170450599806,100,87,util_100
31.79244181700051,100,87,util_100
31.8133341280045,100,87,util_100
31.834471540001687,100,87,util_100
31.85563695100427,100,87,util_100
31.87666096200701,100,87,util_100
31.89743917400483,100,87,util_100
31.91818908500136,100,99,util_100
31.938985796005,100,99,util_100
31.959856907997164,100,99,util_100
31.980739819002338,100,99,util_100
32.001487330999225,100,99,util_100
32.02219014200091,100,99,util_100
32.04292315299972,100,99,util_100
32.06368636499974,100,99,util_100
32.084429376001935,100,99,util_100
32.10516118799569,100,99,util_100
32.12590379899484,100,99,util_100
32.14664751000237,100,99,util_100
32.167331421995186,100,99,util_100
